sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
1,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,112.31,4.38,2.23,12.34,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
2,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,110.58,5.76,1.09,17.63,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
3,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,113.73,5.09,0.9,16.25,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
4,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,119.96,2.41,1.36,5.72,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
5,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,114.84,22.53,2.33,114.61,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
6,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,120.24,7.95,1.66,28.83,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
7,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,118.93,9.21,1.46,32.96,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
8,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,117.89,4.17,1.22,12.12,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
9,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,116.52,3.16,1.18,11.23,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
10,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,114.76,10.28,2.07,34.92,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
